Ackerman|MS|-89172852|33310127|-89190181|33327457|-89155522|33292798
Ackley|IA|-93053261|42554146|-93072921|42573806|-93033601|42534486
Ackworth|IA|-93472717|41366932|-93492014|41386229|-93453420|41347635
Acme|NM|-104331596|33591892|-104348982|33609278|-104314211|33574507
Acme|WY|-107020576|44915489|-107041027|44935940|-107000126|44895038
Acme|TX|-99824783|34317047|-99842318|34334582|-99807249|34299513
Acme|LA|-91820541|31286207|-91837488|31303154|-91803595|31269261
Acme|WA|-122207779|48716633|-122229729|48738583|-122185829|48694683
Acoma|NV|-114174538|37548405|-114192804|37566671|-114156271|37530138
Acomita|NM|-107569931|35056984|-107587623|35074676|-107552239|35039292
Acomita Lake|NM|-107613640|35070213|-107631335|35087908|-107595945|35052519
Acorn|VA|-76648445|38019367|-76666828|38037750|-76630062|38000984
Acra|NY|-74054741|42311180|-74074325|42330764|-74035157|42291596
Acree|GA|-83995674|31555750|-84012669|31572745|-83978679|31538755
Acton|MT|-108686028|45930542|-108706849|45951364|-108665206|45909720
Acton|MA|-71431976|42485401|-71451615|42505039|-71412338|42465763
Acton|CA|-118198448|34469784|-118216015|34487350|-118180882|34452217
Acworth|GA|-84676880|34065929|-84694362|34083412|-84659398|34048447
Acy|LA|-90820702|30219219|-90837461|30235979|-90803942|30202459
Ada|LA|-93140907|32546131|-93158088|32563311|-93123727|32528951
Ada|KS|-97889877|39151226|-97908553|39169901|-97871202|39132551
Ada|OH|-83822716|40769493|-83842343|40780481|-83801832|40756548
Ada|OK|-96678352|34774529|-96722106|34817991|-96617920|34729844
Ada|MN|-96515343|47299686|-96536698|47321042|-96493988|47278331
Ada|WI|-87896156|43877090|-87916247|43897182|-87876065|43856999
Adair|IA|-94643585|41500549|-94662922|41519886|-94624248|41481213
Adair|IL|-90497314|40419159|-90516337|40438181|-90478292|40400136
Adair|OK|-95271355|36436760|-95289356|36454761|-95253353|36418759
Adair Village|OR|-123217873|44670673|-123238237|44691038|-123197508|44650309
Adairsville|GA|-84934113|34368702|-84979460|34377004|-84902122|34331222
Adairville|KY|-86851936|36667542|-86869991|36685597|-86833881|36649486
Adams|ND|-98078995|48421387|-98100817|48443209|-98057173|48399564
Adams|KY|-82707314|38054588|-82725706|38072980|-82688922|38036196
Adams|OR|-118562477|45767357|-118583238|45788118|-118541716|45746596
Adams|WI|-89818192|43956078|-89838309|43976195|-89798074|43935960
Adams|TN|-87065559|36582264|-87083595|36600299|-87047524|36564229
Adams|MS|-90564835|32162045|-90581942|32179152|-90547727|32144937
Adams|NY|-76024078|43809235|-76044147|43829303|-76004010|43789166
Adams|MA|-73116798|42624409|-73136481|42644091|-73097116|42604727
Adams|MN|-92719353|43565247|-92739340|43585233|-92699366|43545260
